entry,exit,total_trades,win_rate,total_pnl,profit_factor,max_drawdown
E4_MACD,EX2_MACD,18,0.5555555555555556,288086.82228273567,1.8450990270732355,146128.91078588367
E4_MACD,EX7_MACD,18,0.5555555555555556,288086.82228273567,1.8450990270732355,146128.91078588367
E6,EX3_MACD,41,0.4146341463414634,234756.33774987655,1.1330049884413926,470000.0
E4,EX7,74,0.36486486486486486,233986.1786750782,1.1114049041902052,582535.5000753966
E4,EX4,74,0.36486486486486486,233986.1786750782,1.1114049041902052,582535.5000753966
E3,EX5_MACD,44,0.38636363636363635,214328.29691463802,1.120041808324139,470000.0
E6_MACD,EX3,11,0.2727272727272727,211191.14386586414,1.5833473281151478,190468.3502685104
E6_MACD,EX5,11,0.2727272727272727,211191.14386586414,1.5833473281151478,190468.3502685104
E4,EX1_MACD,63,0.33333333333333326,208271.79154711368,1.0791640295373304,812035.6221457093
E5_MACD,EX3_MACD,17,0.4117647058823529,204729.46583773402,1.5321053326328224,114507.18010465673
E5_MACD,EX5_MACD,17,0.4117647058823529,204729.46583773402,1.5321053326328224,114507.18010465673
E4,EX2,74,0.36486486486486486,194080.4128158741,1.090682127299619,582535.5000753968
E5,EX5_MACD,63,0.36507936507936506,194035.75671728794,1.0760507407314284,811280.2124023438
E4,EX5_MACD,65,0.35384615384615387,192745.1931065527,1.0727497718353143,811280.2124023438
E4,EX4_MACD,74,0.36486486486486486,192155.2436655768,1.0914884658206059,582535.5000753966
E4,EX7_MACD,74,0.36486486486486486,192155.2436655768,1.0914884658206059,582535.5000753966
E4_MACD,EX5_MACD,18,0.38888888888888895,185122.03421242998,1.45781368502606,127675.5655983995
E4_MACD,EX3_MACD,18,0.38888888888888895,185122.03421242998,1.45781368502606,127675.5655983995
E5_MACD,EX6,17,0.4117647058823529,177668.13633516952,1.4314270914689766,135129.46347565996
E5_MACD,EX1_MACD,17,0.4117647058823529,177668.13633516952,1.4314270914689766,135129.46347565996
E5,EX1,47,0.3191489361702128,172361.84927341377,1.0618864112704254,1189737.511073249
E4_MACD,EX6,18,0.38888888888888895,158060.70470986547,1.3663711081104968,154736.895100964
E4_MACD,EX1_MACD,18,0.38888888888888895,158060.70470986547,1.3663711081104968,154736.895100964
E3,EX1_MACD,44,0.36363636363636365,155551.45018629485,1.0852556645606628,470755.40974336537
E6,EX6,41,0.3902439024390244,155281.95950088114,1.0850953913792911,491295.12668154493
E4,EX2_MACD,74,0.36486486486486486,152249.47780637257,1.0711370422569957,582535.5000753966
E4,EX3_MACD,63,0.36507936507936506,140024.42275939242,1.0518196806803388,831263.0006310515
E3,EX3_MACD,44,0.38636363636363635,118656.69221781043,1.0630777275147192,527006.2001685606
E3_MACD,EX3,12,0.25,114151.58730209769,1.248656812962589,242256.90564203565
E3_MACD,EX5,12,0.25,114151.58730209769,1.248656812962589,242256.90564203565
E6,EX7,44,0.4090909090909091,108540.45563741704,1.0849932511700888,310581.9068386351
E6,EX4,44,0.4090909090909091,108540.45563741704,1.0849932511700888,310581.9068386351
E2_MACD,EX3,23,0.21739130434782608,105855.79635834756,1.1151460745003472,697925.611043894
E2_MACD,EX5,23,0.21739130434782608,105855.79635834756,1.1151460745003472,697925.611043894
E5,EX4,72,0.3472222222222222,104920.86280308559,1.049513048617991,582535.5000753966
E5,EX7,72,0.3472222222222222,104920.86280308559,1.049513048617991,582535.5000753966
E4,EX1,49,0.30612244897959184,87846.83598590398,1.0301815042610543,1310861.9490365074
E1_MACD,EX1,26,0.2692307692307692,83287.20492391154,1.0562471393896773,854095.0906296087
E5,EX3_MACD,62,0.3709677419354838,80506.12705118628,1.030209491141125,794043.7318586454
E6,EX2,44,0.4090909090909091,68634.68977821287,1.0521162512332873,334601.42448132625
E6,EX4_MACD,44,0.4090909090909091,66709.52062791557,1.0522372880127295,352412.8418481365
E6,EX7_MACD,44,0.4090909090909091,66709.52062791557,1.0522372880127295,352412.8418481365
E5,EX2,72,0.3472222222222222,65015.09694388136,1.030114073548391,582535.5000753966
E1,EX6,64,0.484375,64335.052852990804,1.0194479136176617,1481850.6028717842
E5,EX7_MACD,72,0.3472222222222222,63089.927793584066,1.029772674172647,582535.5000753968
E5,EX4_MACD,72,0.3472222222222222,63089.927793584066,1.029772674172647,582535.5000753968
E2_MACD,EX1,18,0.2777777777777778,44245.40059644735,1.0379165958045558,728227.0484510313
E1,EX3,93,0.24731182795698925,43059.93377377791,1.0130332726598785,1467049.0504232498
E6,EX2_MACD,44,0.4090909090909091,26803.754768711282,1.020352845216254,376432.3594908279
E5,EX2_MACD,72,0.3472222222222222,23184.16193437972,1.0107385759687837,582535.5000753968
E6_MACD,EX1,9,0.4444444444444444,20871.181466320122,1.0384794101930082,341834.53884999617
E3,EX6,44,0.36363636363636365,12120.984466250695,1.0061591630279072,613091.7736427767
E2_MACD,EX4,26,0.5384615384615384,-10392.270639193051,0.9854272238817008,276188.89503761916
E2_MACD,EX7,26,0.5384615384615384,-10392.270639193051,0.9854272238817008,276188.89503761916
E2_MACD,EX2,26,0.5384615384615384,-10392.270639193051,0.9854272238817008,276188.89503761916
E1_MACD,EX2,40,0.5,-15345.04534800483,0.9820466661999514,286239.75746832974
